Gene ID	Gene Name	Design Element	'non-small cell lung cancer' vs 'normal'.p-value	'non-small cell lung cancer' vs 'normal'.t-statistic	'non-small cell lung cancer' vs 'normal'.log2foldchange
ENSG00000173267	SNCG	209877_at	0.607814699876366	-0.651222233524329	-0.1
ENSG00000173269	MMRN2	219091_s_at	4.5631553506023e-15	-9.93960283786847	-1.9
ENSG00000173272	MZT2A	213166_x_at	2.39392551709471e-17	11.1137854082775	0.9
ENSG00000173273	TNKS	202561_at	0.767180218255969	-0.387728146408314	0
ENSG00000173275	ZNF449	228968_at	0.0481408791677222	-2.24670439235701	-0.2
ENSG00000173276	ZBTB21	233952_s_at	3.72562319420087e-14	-9.47605593011261	-1.1
ENSG00000173281	PPP1R3B	222662_at	0.598133271545662	0.666824849855164	0.1
ENSG00000173295	FAM86B3P	1562904_s_at	0.0536100380764973	-2.19785929133881	-0.1
ENSG00000173320	STOX2	226822_at	0.0576635697451728	-2.1639912166127	-0.2
ENSG00000173327	MAP3K11	203652_at	5.49203555504566e-11	-7.85405978430263	-0.6
ENSG00000173334	TRIB1	202241_at	1.40816829455972e-09	-7.1261953183375	-1.1
ENSG00000173335	CST9	1554386_at	0.392298516209787	1.04040376902605	0.1
ENSG00000173338	KCNK7	224008_s_at	0.41330816160131	0.998999735502339	0.1
ENSG00000173349	SFT2D3	226639_at	1.29851986496759e-07	6.0711504668581	0.5
ENSG00000173357		216842_x_at	0.570753852879263	0.712490813785736	0
ENSG00000173369	C1QB	202953_at	2.10313376563629e-14	-9.60314638113905	-1.9
ENSG00000173372	C1QA	218232_at	8.2270041611785e-13	-8.78924581234445	-1.8
ENSG00000173376	NDNF	219747_at	5.20523381490014e-16	-10.4257412010377	-2.8
ENSG00000173389	IQCF1	1552997_a_at	0.996766029646192	-0.00586185269995121	0
ENSG00000173391	OLR1	210004_at	1.59020911187586e-22	-13.8759338140832	-3.3
ENSG00000173401	GLIPR1L1	238296_at	0.490175554958858	-0.854718195337956	0
ENSG00000173402	DAG1	205417_s_at	0.302133377576922	1.23241477589972	0.1
ENSG00000173404	INSM1	206502_s_at	0.0586363509781372	2.15608153539452	0.3
ENSG00000173406	DAB1	220611_at	0.970035220973137	-0.0533723597434589	0
ENSG00000173409	ARV1	223223_at	0.634900010881664	-0.604885829767488	-0.1
ENSG00000173418	NAA20	223040_at	2.27809223205847e-05	4.77237415154946	0.5
ENSG00000173421	IHO1	1564600_a_at	0.691196040248765	0.512940381048885	0
ENSG00000173436	MICOS10	228096_at	2.1310417489912e-14	-9.60016686189745	-0.7
ENSG00000173442	EHBP1L1	221755_at	0.193776131684643	-1.52287074897985	-0.2
ENSG00000173451	THAP2	230380_at	0.000462468700925954	-3.91771439241905	-0.9
ENSG00000173452	TMEM196	1552293_at	0.000511008884456837	-3.88759245394192	-0.1
ENSG00000173456	RNF26	224947_at	1.66400623812006e-13	9.1426645957052	0.7
ENSG00000173465	ZNRD2	203114_at	6.83523876303765e-09	6.7633527633428	0.5
ENSG00000173467	AGR3	228241_at	1.57292789620405e-13	-9.15560670469358	-3.7
ENSG00000173473	SMARCC1	201074_at	1.11888089973302e-12	8.72181564544298	0.7
ENSG00000173480	ZNF417	1552783_at	0.445162815413114	0.938558561134237	0
ENSG00000173482	PTPRM	1555579_s_at	9.97816987343905e-24	-14.5467315272107	-2.2
ENSG00000173511	VEGFB	203683_s_at	0.524061947720901	-0.793674461586242	-0.1
ENSG00000173517	PEAK1	225913_at	5.24747814654909e-24	-14.7063805893988	-1.5
ENSG00000173530	TNFRSF10D	227345_at	4.16578259622885e-10	-7.40015311993236	-1.2
ENSG00000173535	TNFRSF10C	211163_s_at	2.99050250465135e-12	-8.50199741764964	-1.4
ENSG00000173542	MOB1B	225997_at	7.2293167968712e-05	-4.4551910194846	-0.4
ENSG00000173545	ZNF622	225152_at	1.97114385328018e-06	5.40630187305715	0.4
ENSG00000173546	CSPG4	204736_s_at	0.858390224432279	-0.239085045720865	0
ENSG00000173548	SNX33	227151_at	0.709133875678975	0.483728884718463	0
ENSG00000173557	FAM166C	231126_at	0.862785457475265	0.232433383328394	0
ENSG00000173559	NABP1	222872_x_at	0.000987929669652709	-3.68316285222166	-0.5
ENSG00000173567	ADGRF3	1553016_at	0.416039964292322	-0.993462256108133	0
ENSG00000173572	NLRP13	1553525_at	0.788795879803022	0.352284810412403	0
ENSG00000173575	CHD2	225077_at	0.168008777496271	-1.60764228750559	-0.1
ENSG00000173578	XCR1	1561226_at	0.616924709515494	0.635213504700498	0
ENSG00000173581	CCDC106	207006_s_at	0.555964311056286	0.737107712378792	0.1
ENSG00000173585	CCR9	207445_s_at	0.805810064858517	-0.325232816558325	0
ENSG00000173588	CEP83	219644_at	0.0893430449760289	1.9504710175209	0.2
ENSG00000173597	SULT1B1	207601_at	0.0101863931841421	-2.88458495953085	-0.2
ENSG00000173599	PC	204476_s_at	1.28368478347309e-12	8.69122419346241	1.4
ENSG00000173611	SCAI	228174_at	2.55757643207951e-26	-16.0364505481347	-1.8
ENSG00000173612	GPRC6A	1552775_at	0.103394618709639	1.87527427062688	0.1
ENSG00000173614	NMNAT1	223692_at	0.165123372282885	1.6176955581052	0.2
ENSG00000173621	LRFN4	219491_at	3.44515279292791e-13	8.98138148938369	0.6
ENSG00000173626	TRAPPC3L	232368_at	0.0573217314805454	-2.16675495564276	-0.1
ENSG00000173627	APOBEC4	1554545_at	0.0342737131508706	-2.39673960405238	-0.1
ENSG00000173638	SLC19A1	211576_s_at	3.25734984642296e-09	-6.93433429448619	-0.6
ENSG00000173641	HSPB7	218934_s_at	4.1412057739818e-14	-9.45225394063821	-1
ENSG00000173653	RCE1	205333_s_at	1.86527820885609e-05	4.82571861312814	0.3
ENSG00000173662	TAS1R1	1564883_a_at	0.904274797769351	-0.163662684656099	0
ENSG00000173674	EIF1AX	201017_at	0.115781511548467	-1.81527502226461	-0.2
ENSG00000173681	BCLAF3	232087_at	0.207404969780095	-1.48114144620533	-0.1
ENSG00000173692	PSMD1	201199_s_at	1.36847996650455e-15	10.2089141873939	0.6
ENSG00000173698	ADGRG2	206002_at	0.0356171336913331	-2.37984291297528	-0.3
ENSG00000173699	SPATA3	240340_at	0.353609715032719	1.11751129442876	0
ENSG00000173702	MUC13	218687_s_at	0.0672520171929389	2.0905188497315	0.3
ENSG00000173705	SUSD5	214954_at	0.303361477014559	-1.22961201872122	-0.2
ENSG00000173706	HEG1	213069_at	1.18432039088721e-10	-7.68317333249408	-1.1
ENSG00000173714	WFIKKN2	1554773_at	0.794157934260779	0.343513560574256	0
