,pert_iname,pubchem_cid_list,canonical_smiles_list
100,ARG-CSC2-40,['50904129'],['Cc1csc(NC(=O)c2ccc(COc3ccccc3F)o2)n1']
101,ARG-TC-41,['44629410'],['COc1ccc(cc1OC)C(=O)C2CCCN(CCc3ccccc3)C2']
102,ARP-101,['11292680'],['CC(C)ON([C@H](C(C)C)C(=O)NO)S(=O)(=O)c1ccc(cc1)c2ccccc2']
103,AS-601245,['10109823'],['N#CC(c1nc2ccccc2s1)c1ccnc(NCCc2cccnc2)n1']
104,AS-604850,['5287855'],['FC1(F)Oc2ccc(cc2O1)\\C=C1/SC(=O)NC1=O']
105,AS-605240,['10377751'],['C1=CC2=NC=CN=C2C=C1/C=C/3\\C(=O)NC(=O)S3']
106,AS-703026,['44187362'],['OC[C@@H](O)CNC(=O)c1ccncc1Nc1ccc(I)cc1F']
107,ASN-05257430,['650361'],['COc1ccc(cc1)S(=O)(=O)N2CCN(CC2)S(=O)(=O)c3ccc4OCCOc4c3']
108,AT-7519,['11338033'],['Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCNCC1']
109,AT-9283,['11696609'],['O=C(NC1CC1)Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1']
110,AT-CSC-07,['6538121'],['Cc1cc(Cl)ccc1OCC(=O)NN=Cc1ccc[nH]1']
111,AT-CSC-18,['49843203'],['Clc1cc(Cl)c(OCC(=O)NN=Cc2ccc[nH]2)c(Cl)c1']
112,AT-SUMO-1,['24747642'],['Brc1ccc(cc1)C(=O)C(CN2CCOCC2)c3ccccc3']
113,AT1-SHH-09,['70680404'],['CC(=O)N[C@@H]1C\\C=C\\CCC(=O)N[C@@H](COC1=O)c1ccccc1']
114,AT1-SHH-29,['70680411'],['CN1C[C@H](NC(=O)CC\\C=C\\C[C@@H](CC(=O)NCc2ccc(Cl)cc2)C1=O)c1ccccc1']
115,AT7867,['11175137'],['Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1']
116,ATPA,['2253'],['CC(C)(C)c1onc(O)c1CC(N)C(O)=O']
117,AVA,['11719255'],['CC1(C)Oc2ccc3C4=C[C@@]56NC(=O)[C@]7(CCCN7C5=O)C[C@H]6C(C)(C)C4=[N+]([O-])c3c2C=C1']
118,AY-9944,['9704'],['Clc1ccccc1CNCC2CCC(CNCc3ccccc3Cl)CC2']
119,AZ-10417808,['135665263'],['[O-][N+](=O)c1cc(C(=O)NCC=C)c2nc(Nc3ccc(Cl)c(Cl)c3)[nH]c(=O)c2c1']
120,AZ-628,['11676786'],['Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1']
121,AZD-1480,['46861588'],['CC(Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1']
122,AZD-5438,['16747683'],['CC(C)n1c(C)ncc1-c1ccnc(Nc2ccc(cc2)S(C)(=O)=O)n1']
123,AZD-6482,['44137675'],['C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1']
124,AZD-7545,['16741245'],['CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1']
125,AZD-7762,['67077825'],['NC(=O)Nc1cc(sc1C(=O)N[C@@H]1CCCNC1)-c1cccc(F)c1']
126,AZD-8055,['25262965'],['COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C']
127,AZD-8330,['16666708'],['Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)n(C)c1=O']
128,Ac-Leu-Leu-Nle-CHO,['443118'],['CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C)C=O']
129,Ala-Ala-Phe-CMK,['6610326'],['C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)CCl']
130,BADGE,['2286'],['CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3']
131,BAPTA-AM,['2293'],['CC(=O)OCOC(=O)CN(CC(=O)OCOC(=O)C)c1ccccc1OCCOc2ccccc2N(CC(=O)OCOC(=O)C)CC(=O)OCOC(=O)C']
132,BAS-00535043,['9592990'],['O=C(Oc1cccc(\\C=N\\Nc2nc(Nc3ccccc3)nc(n2)N2CCOCC2)c1)c1ccco1']
133,BAS-00594560,['5408200'],['CN(C(C)=O)c1ccc(cc1)\\N=C\\c1c(O)ccc2ccccc12']
134,BAS-02859604,['1140587'],['Cc1cccc(NC(=O)/C(=C/c2cn(CC(=O)NCc3ccco3)c4ccccc24)/C#N)c1']
135,BAS-09104376,['6070589'],['Cc1ccc(/C=C(\\C#N)/c2nc3ccc(C)cc3[nH]2)o1']
136,BAX-channel-blocker,['2729027'],['OC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12']
137,BAY-11-7082,['5353431'],['Cc1ccc(cc1)S(=O)(=O)\\C=C\\C#N']
138,BAY-36-7620,['9903757'],['C=C1C[C@@H]2COC(=O)[C@]2(Cc3ccc4ccccc4c3)C1']
139,BAY-59-3074,['10479060'],['FC(F)(F)CCCS(=O)(=O)Oc1cccc(Oc2cccc(c2C#N)C(F)(F)F)c1']
140,BAY-K-8644-(S)-(-),['6603728'],['COC(=O)C1=C(C)NC(C)=C([C@H]1c1ccccc1C(F)(F)F)[N+]([O-])=O']
141,BAY-K8644,['2303'],['COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1C(F)(F)F)[N+]([O-])=O']
142,BCI-hydrochloride,['5475586'],['O=C1c2ccccc2C(NC2CCCCC2)\\C1=C\\c1ccccc1']
